Noobini Pizzanini	Common	25	1
Dul Dul Dul	Dul Dul Dul	Secret	150M	375k
Blackhole Goat	Blackhole Goat	Secret	75M	400k
Nooo My Hotspot	Nooo My Hotspot	Secret Taco Tuesday	500M	1.5M
Sammyini Spyderini	Sammyini Spyderini	Secret	100M	325k
Spaghetti Tualetti	Spaghetti Tualetti	Secret	750M	60M
67 Brainrot	67	Secret	1.2B	7.5M
Los Noo My Hotspotsitos	Los Noo My Hotspotsitos	Secret	1B	5M
Celularcini Viciosini	Celularcini Viciosini	Secret	2.7B	22.5M
Tralaledon	Tralaledon	Secret	3B	27.5M
Tictac sahur	Tictac Sahur	Secret	6B	37.5M
La Supreme Combinasion	La Supreme Combinasion	Secret	7B	40M
Ketupat Kepat	Ketupat Kepat	Secret	5B	35M
Ketchuru and Musturu	Ketchuru and Musturu	Secret	7.5B	42.5M
TBA	Burguro and Fryuro	Secret	75B	150M
Strawberry Elephant	Strawberry Elephant	OG	500B	250M
